Sentence,Main Topic Sentiment
"trifacta is easy to pick up and play, to import, cleanse data and export to another system (in our case bigquery) is really simple and intuitive.",Positive
trifacta is useful to analyse massive datasets from pos systems that possible haven't had the resource behind them before to standardise.,Positive
"""powerful but too much crashes since the recent update.",Negative
"""powerful but too much crashes since the recent update.",Negative
"""powerful but too much crashes since the recent update.",Negative
"""easy-to-handle etl for data cleanup""",Positive
sometimes the tool is a little slow.,Negative
"the tool is easy to use, without having to code, and without having to read a lot of documentation.",Positive
"the tool is easy to use, without having to code, and without having to read a lot of documentation.",Positive
"""trifacta is one of the best data preparation tool available & now it is implemented on cloud too.""",Positive
creating & preparing the data for analysis.,Positive
creating & preparing the data for analysis.,Positive
numerous of features & functions available which can be used easily.,Positive
numerous of features & functions available which can be used easily.,Positive
"we can easily import many type of files, and also export the prepared flows for data analysis or for other uses to other google platforms like bigquery or cloud functions.",Positive
"we can easily import many type of files, and also export the prepared flows for data analysis or for other uses to other google platforms like bigquery or cloud functions.",Positive
but they are improving it day by day by adding more features.,Positive
fast response from the support team for every queries & also work hard for solving the issues soon.,Positive
fast response from the support team for every queries & also work hard for solving the issues soon.,Positive
fast response from the support team for every queries & also work hard for solving the issues soon.,Positive
there is some slowness experiencing in the user interface of cloud trifacta.,Negative
there is some slowness experiencing in the user interface of cloud trifacta.,Negative
there is some slowness experiencing in the user interface of cloud trifacta.,Negative
there is some slowness experiencing in the user interface of cloud trifacta.,Negative
there is some slowness experiencing in the user interface of cloud trifacta.,Negative
"we can easily import many type of files, and also export the prepared flows for data analysis or for other uses to other google platforms like bigquery or cloud functions.",Positive
"""powerful but heavy and slow""
 all transformation possibilities.",Negative
"""powerful but heavy and slow""
 all transformation possibilities.",Negative
"""powerful but heavy and slow""
 all transformation possibilities.",Negative
interface is too much heavy and very slow.,Negative
slow system for small data set.,Negative
importing many sources and large amount of data.,Negative
documentation : is sometime hard to find appropriate solution or expected support.,Negative
expensive for small data set manipulation.,Negative
"it's a really good product to import in a fast and simple way raw and unstructured data like csv, json, avro.",Positive
user centric.,Positive
"""a very productive tool""
 the possibility of analyzing each variable separately and, together with the others.",Positive
i am working with a medical tourism data analysis.,Positive
the operational procedures for preparing and generating the workflow is somewhat confusing.,Negative
the software is very good and worth testing and using.,Positive
"""time saver and the best data cleaning tool on the market""
 the integration with google cloud makes it so easy to transfer files back and forth.",Positive
i use trifacta for data cleaning and it is an excellent time-saver.,Positive
trifacta has reduced my turn around time by almost 2x.,Positive
the best part about the tool is its data visualization on top of each column that makes it easy to identify the parameters.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
the easy to use user interface is also something i like the most.,Positive
"""data transformation for everyone""
 dataprep is an excellent tool to take your dataset structure or unstructured to clean, enrich, transform before you publish.",Positive
"""data transformation for everyone""
 dataprep is an excellent tool to take your dataset structure or unstructured to clean, enrich, transform before you publish.",Positive
"""data transformation for everyone""
 dataprep is an excellent tool to take your dataset structure or unstructured to clean, enrich, transform before you publish.",Positive
"""data transformation for everyone""
 dataprep is an excellent tool to take your dataset structure or unstructured to clean, enrich, transform before you publish.",Positive
a great tool for your data practise arsenal,Positive
a great tool for your data practise arsenal,Positive
a great tool for your data practise arsenal,Positive
"on the google cloud platform dataprep is setup as service on a serverless environment, to get started there is no hardware or software installation required, you just enable the service to start.",Positive
"""data transformation for everyone""
 dataprep is an excellent tool to take your dataset structure or unstructured to clean, enrich, transform before you publish.",Positive
a great tool for your data practise arsenal,Positive
"i have used dateprep in the google cloud platform, and it integrates with other google cloud platform services in an easy step by step fashion.",Positive
"i have used an early version of dataprep on the google cloud platform, you could only get data from bigquery, cloud storage or a direct .csv/.json file import.",Positive
"the dataprep tool is easy to use with its simplicity , that is how a ui should be simple for the user packing a lot of punch behind the scene.",Positive
"the dataprep tool is easy to use with its simplicity , that is how a ui should be simple for the user packing a lot of punch behind the scene.",Positive
the transformation rules and macros are very powerful---this is a good way of importing data into bigquery without having to write the transformations programmatically.,Positive
the transformation rules and macros are very powerful---this is a good way of importing data into bigquery without having to write the transformations programmatically.,Positive
the transformation rules and macros are very powerful---this is a good way of importing data into bigquery without having to write the transformations programmatically.,Positive
"the ui is fine for setting up a few transformations and scheduling them, but it's tedious when you have to set up 10 or 50 of them.",Negative
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"user friendly interface, with no coding nessisary.",Positive
"""i enjoy trifacta because of its ease of use to transform data in almost anyway""
 user friendly interface, with no coding nessisary.",Positive
i recommend you use trifacta to replace long winded data wrangling and transformations.,Positive
"trifacta has made my work life faster, easier and streamlined day to day transformations.",Positive
"""ensnared""
 intuitive and intelligent interface with some exceptions, out of the box with gcp.",Positive
it�s an easy tool to combine and clean up data when working on etl for a project like a data warehouse.,Positive
"""data wrangling using scheduled jobs""
 dataset insights are really useful especially when you need to discover data distribution between dataset features.",Positive
trifacta solves the problem of creating scheduled jobs to process historical data creating an aggregated view of them.,Positive
so we had to learn to build few custom transformation that were not available out of the box,Neutral
"google cloud dataprep gives us the ability to transform data with out coding and it is a game changes, we don't rely on it for most of the transformations work but we leverage inbuilt feature for all the transformations work.",Neutral
"google cloud dataprep gives us the ability to transform data with out coding and it is a game changes, we don't rely on it for most of the transformations work but we leverage inbuilt feature for all the transformations work.",Neutral
"i like the ability to transform the data on google cloud data prep without coding, it is a absolute game changes for business users who work with data day in and day out but don't have coding skills.",Neutral
we are absolutely new to wrangler programing language,Neutral
we also like the ai features where we can transform the data by example which gives us the ability to provide few examples and datapre takes care of the transformation.,Positive
we also liked the ability to integrate datapre with rest of the cloud service on google cloud platform like bigquery and google cloud storage.,Positive
"""a perfect tool for data scientists, ml engineers for data processing and getting data insights.""",Positive
features such as join and other transformations are very useful.,Positive
"instead of using python libraries, this is the quickest way for data processing.",Positive
"instead of using python libraries, this is the quickest way for data processing.",Positive
"instead of using python libraries, this is the quickest way for data processing.",Positive
trifacta is a great software for data processing and would save you time.,Positive
it is a simple application in which you can excel within a week.,Positive
the interface lags sometimes could be more smooth and lightweight.,Positive
there are tooltips to provide the details of each function.,Positive
it is a user-friendly application that can be handled by a non-tech savvy person too.,Positive
it is a user-friendly application that can be handled by a non-tech savvy person too.,Positive
it is a user-friendly application that can be handled by a non-tech savvy person too.,Positive
it is a user-friendly application that can be handled by a non-tech savvy person too.,Positive
"moreover, its affiliation with google cloud platform helps to create the model in short period of time.",Positive
i find the tool also suffers from intermittent slow downs from time to time.,Negative
if something changes with the source data without us knowing it may cause a recipe to fail.,Positive
if something changes with the source data without us knowing it may cause a recipe to fail.,Positive
the tool is also easy to use and suggests many common data transformation steps based on how your source data looks when you first upload it into the tool.,Positive
the tool is also easy to use and suggests many common data transformation steps based on how your source data looks when you first upload it into the tool.,Positive
"using parameterized datasets in dataprep, we pull the new files daily into a flow that cleans/preps it and sticks the data into bigquery.",Positive
"""I will defund Planned Parenthood!"" because fuck reproductive health amirite??? LESS SEX ED! MORE BABIES! #GOPdebate",Negative
Is someone going to ask the other GOP candidates why someone so racist and sexist is appealing to their party? #Trump #GOPDebate #2016,Neutral
RT @Acantiming70: The 6 most surprising moments from last night's wacky #GOPDebate http://t.co/NSDHZHUBWO j8p,Negative
RT @madiallman: Trump's the drunk guy no one wants at the party #GOPDebate,Negative
"RT @amaraconda: republicans always do that ""what if"" shit when it comes to abortion what if the people killed by police wouldve cured cance…",Positive
RT @PhillyD: Aggressively Normal?  Found a name for my new mixtape!!  #GOPDebate,Negative
RT @dick_nixon: Megyn Kelly sends us fruit from time to time. You know the fruit that's arranged like flowers? But it's fruit? We've never …,Negative
Trump Donated to Hillary &amp; supported Dems for YEARS-Now he says he's conservative &amp; runs 3rd party?? NO SUPPORT #Tcot #GOPDebate #ccot,Neutral
Bernie Sanders live-tweeted the #GOPDebate http://t.co/38RFHTuQWc via @HuffPostPol #DebateWithBernie,Neutral
RT @thehill: #GOPdebate sets stunning ratings record: report http://t.co/0MHuzvLX97 http://t.co/2sqxf8wm03,Negative
Language is beautiful http://t.co/GFyTi5ilVC #GOPDebate #DonaldTrump,Negative
The bottom line - @realDonaldTrump was dirty-worked by two A-list @FoxNews anchors. Not sure why. But it definitely happened. #GOPDebate,Negative
"If your sole takeaway from the #GOPDebate is ""they're dumb,"" then you're no better than you think they are.",Negative
"My takeaway from the #GOPDebate is that the #GOP believes we live in a terrible apocalyptic world, surrounded by scary people. Sad.",Negative
Very disappointing!!! Energy policy finds little room in Republican debate http://t.co/Uua4a1OX9F (via @DCExaminer) #EagleFord #GOPDebate,Negative
RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,Neutral
"@clarawrrr Pro-life Till the baby needs food, clothes, shelter, schooling, medical attention. You know, the basics. #GOPDebate",Positive
Camille Paglia straight calling it in @THR guest column on #GOPDebate. So good. http://t.co/IAPhTO0Gzt,Neutral
#GOPDebate Is Chris Wallace Tom Brokaw's bastard child?,Negative
"#GOPdebate takeaway: #America is a country that applauds a bully, fears foreigners, and wants the system to be... http://t.co/pTXCIt493m",Neutral
RT @pacsgirl36: @rushlimbaugh yep @megynkelly sucked at #GOPDebate  @realDonaldTrump  country is in a mess &amp; debate questions Terrible,Negative
Watched a part of the #GOPDebate last night. Hilarious that @ScottWalker thinks he has any chance. Let alone any of the candidates. 😂😂😂,Positive
"RT @DanRyckert: ""I like family and friends"" is a very brave, bold stance. #GOPDebate",Positive
Anyone else thought that @CarlyFiorina belonged on the prime time #GOPDebate ?,Neutral
"RT @myhlee: 2 debates, 17 candidates, 20 fact-checks -- check out our round-up: http://t.co/mfuerVuoxp #GOPdebate",Negative
"The #GOPDebate more so resembled the interview portion of a beauty pageant, drawn out, than an actual debate.",Negative
How can anyone take Trump seriously? #GOPdebate,Negative
Am I the only one perved out by Scott Walker's wink at the beginning of the #GOPDebate #icky,Neutral
"The first 2016 #GOPdebate was just that: one of several, and 16 months before election day http://t.co/M9aqRRVZZY http://t.co/XdTnJeGRqB",Neutral
@rushlimbaugh notes @CarlyFiorina nails it. @TheDemocrats are a dangerous #AssaultWeapon on #USA #TCOT #GOPDebate   https://t.co/SDVTOOgM7a,Negative
"RT @DLoesch: Carson’s goal tonight: Introduce himself to America, make people remember him. I think he accomplished that. #GOPDebate",Positive
"RT @halrudnick: Candidates, how do you propose to keep White Walkers north of the Wall? #GOPDebate",Negative
RT @AmyMek: How pathetic &amp; transparent -&gt;.@FrankLuntz goes right after @realDonaldTrump &amp; is doing his best to push Rhinos! #GOPDebate,Negative
"@megynkelly reminded me of @HillaryClinton last night, and that's NOT a compliment! #GOPDebate #GoTrump @realDonaldTrump",Negative
#GOPDebate was vicious thanks to this guy here http://t.co/c6UXed2WLU,Negative
RT @JohnFugelsang: If you're just tuning into #gopdebate there's no money for struggling Americans and unlimited money for war.,Negative
"RT @drginaloudon: Green rm wearing #IvankaTrump dress bcuz I host #AmericaTrends.If u arent watchin #GOPDebate, http://t.co/ee4TjYlRk5 http…",Neutral
@RMConservative: #GOPDebate: Did Cruz Trump Trump Last Night?  https://t.co/yrjQln6Ibb via @CR,Negative
"Millions of #Conservative #Americans, myself included, find the #misogyny of  #DonaldTrump totally offensive and unacceptable. #GOPDebate",Negative
"""Oh Donald, again with your angry misogyny. You are just incorrigible. Now tell us more about Trump Wall."" -- #GOPDebate",Negative
File this under: Subjects Overlooked in the #GOPDebate http://t.co/L4X9stUjVM,Negative
"According to @gov, the most-retweeted candidate tweet of the #GOPDebate didn't come from a Republican: https://t.co/cUv3aF58UA",Neutral
Republican presidential debate: 8 takeaways http://t.co/q41nopR2p9 #GOPDebate,Neutral
"RT @IAmChrisCrespo: LOL at those who unfollowed/blocked me after the #GOPDebate. Ups to my new followers, who outnumber the former 3 to 1.",Neutral
Doesn't it bother anyone that the GOP is primarily white. At some point you have to step back &amp; realize it doesn't reflect the US #GOPDebate,Negative
"I know RWers like to show power,but did @FoxNews have to rub the 5:00 #GOPdebate candidates noses in the fact that THEY r the #JVteam?",Negative
"RT @RudyHavenstein: Chris Christie, shown here swallowing a fly during Thursday's #GOPDebate #OhGodMakeItStop2015 http://t.co/z2VX3CRiDr",Negative
"""I won't be bought &amp; I won't be sold"" @randpaul after reiterating his points against @realDonaldTrump during #gopdebate",Neutral
@audreycnn @MbasuCNN why didn't the #GOPDebate mention this,Negative
RT @laureldavilacpa: #GOPdebate Perry wants war! #IranDeal #Hillary2016 #UniteBlue #PDMFNB #p2 http://t.co/I3UxAhYmJg,Negative
Check out the CQ Word Cloud of last night's #GOPDebate... https://t.co/9Nd5l30xcj,Neutral
"Not one clown on that stage of idiots last night, can match PBO's accomplishments #GOPDebate #voteblue2016 http://t.co/xocShaANDf",Negative
RT @kylebelanger1: #UponFurtherReview: #DonaldTrump was the dad in the #ODoyleRules family. #BillyMaddison #VapidBully #GOPDebate... http:/…,Negative
"RT @Akhenaten15: The @GOP is against abortion but had no problem killing more than 575,000 Iraqi kids in 2000 &amp; another 56,000 Iraqi kids i…",Negative
How can anyone take @realDonaldTrump seriously when he's talking about Rosie O'Donnell at a debate? #GOPDebate #asshat,Negative
I guess yesterday's #GOPDebate and watching #DonaldTrump was more entertaining than Fantastic Four.  @RottenTomatoes http://t.co/GiMBjTFRtP,Positive
"@realDonaldTrump, did you realize that even @FoxNews forgot about our Vets last night? It only came up at the last min. So sad. #GOPDebate",Negative
"RT @bodysculptorokc: I think Ben Carson would make a much better Surgeon General, than a president  #GOPDebate",Negative
RT @NancyLeeGrahn: Woke up to screaming about Mexicans and vaginas. NEVER fall asleep with Fox News channel on. #GOPDebate,Negative
RT @CarolCNN: Last night's superstar? @CarlyFiorina shines in first #GOPdebate @DavidChalian weighs in http://t.co/nD1coglyPl http://t.co/i…,Positive
#Reagan CRUSHED #TamirRice in last nights #gopDebate!,Positive
RT @LizHernandez: This is a complete 🎪 with plenty clowns. #GOPDebate,Negative
"Out of the #GOPDebate last night, I liked @RealBenCarson and @tedcruz 😊",Positive
RT @lucylsmeezy: LOLing through gritted teeth #GOPDebate http://t.co/07Ag6M3QTW TY @Cornerstone_POC @thenation,Neutral
"""He buys &amp; sells politicians"" is any quote n #GOPDebate which demonstrates how messed up $ and pol system is @Thom_Hartmann @DylanRatigan",Negative
"@RealBenCarson I love your tax plan! Makes sense, is fair, and simple. Great job during #GOPDebate.",Positive
RT @maureenjohnson: These guys are trying to trump each other in crazy so hard by the end of the night we will have declared war on the moo…,Negative
RT @Mike_Thoms: If there's one thing to take away from last night's #GOPDebate it's that improv comedy is alive and well,Negative
"Megyn Kelly got the most air time. 31% of it was for Fox #GOPdebate moderators. Trump was 2nd closest, contrary to what folks think...--Rush",Neutral
#GOPDebate RE: audience cheer at Trumps insults: Anyone who takes delight in hurting others needs to examine the state of their own soul.,Negative
RT @feministabulous: 20 minutes in the #GOPDebate and candidates have spoken more about the rights of fetuses than the rights of women in t…,Negative
RT @levarburton: Wait... What???? That was it???? #BlackLivesMatter #GOPDebate,Negative
"If he didn't before,@realDonaldTrump is gonna have a war on @megynkelly now! #justwar #GOPdebate",Negative
"RT @JoshMalina: ""And now for our 27 second Lightning Round on racial issues."" #GOPDebate",Negative
#GOPDebate #MegynKelly is a talking head like the rest of them There were wonderful intelligent candidates we ought to be discussing instead,Negative
It's fascinating to see the post-post #GOPDebate analysis this morning. I'm wondering if all these commentators watched the same thing I did,Negative
RT @bannerite: #GOPDebate and the clear Winner is http://t.co/zO63efHNQH,Positive
RT @madelyne_ortiz: No chill on the internet. Not one day! #GOPDebate http://t.co/KfC4G4E3QG,Neutral
